dates,sizes,emo_dict_score,emo_bigbert_score,emo_bert_score,emo_cumu_score
2021-03-25,297,[0.81820281 0.07131125 0.57049003],[-0.29639369 -0.32756333  0.89713602],[-0.3890453  -0.17732598  0.90399074],[ 0.33055858 -0.16233201  0.92972003]
2021-03-03,220,[0.89551507 0.06503741 0.44025322],[-0.23241405 -0.39035347  0.89084672],[-0.18099849 -0.4522406   0.87333727],[ 0.43559501 -0.21370206  0.87440747]
2021-02-26,384,[0.85204048 0.11259106 0.51122429],[-0.28171909 -0.32704106  0.9020413 ],[-0.25455822 -0.36183759  0.89681306],[ 0.37057499 -0.13934214  0.91829077]
2021-01-28,282,[0.80419003 0.17776832 0.5671656 ],[-0.18456401 -0.45342629  0.87197519],[-0.02851933 -0.61778592  0.785829  ],[ 0.38947473 -0.17326873  0.90459238]
2020-12-16,329,[0.85321825 0.08464467 0.51463958],[-0.20529285 -0.44149396  0.87346318],[-0.12614375 -0.52712323  0.84037424],[ 0.41193348 -0.22687515  0.88251826]
2020-12-14,67,[0.67568534 0.09652648 0.73084332],[-0.01317924 -0.65200429  0.75810073],[-0.08656379 -0.59316016  0.80041722],[ 0.38478639 -0.3226239   0.86478509]
2020-11-24,445,[0.88834539 0.09365087 0.44952417],[-0.29972727 -0.30586581  0.90366458],[-0.33591831 -0.26856677  0.90279055],[ 0.39482115 -0.14234517  0.9076641 ]
2020-11-23,304,[0.78302642 0.13245223 0.607722  ],[-0.23901126 -0.4141657   0.87825987],[-0.24390208 -0.37746642  0.89332574],[ 0.33846236 -0.17526976  0.92451271]
2020-11-19,286,[0.75309729 0.13840707 0.64318579],[-0.27702302 -0.35375395  0.8933736 ],[-0.24913751 -0.40212353  0.88103755],[ 0.29333499 -0.13268681  0.94675699]
2020-11-04,341,[0.9013559  0.08041837 0.42554721],[-0.27258339 -0.35036089  0.89607229],[-0.30158505 -0.31140402  0.90115148],[ 0.42248987 -0.18138194  0.88803317]
2020-10-12,95,[0.7119466  0.04449666 0.70082243],[-0.13601871 -0.49405979  0.85872221],[ 0.02408256 -0.63708947  0.77041355],[ 0.33441369 -0.26103973  0.90555273]
2020-09-28,273,[0.84419129 0.10029996 0.52657477],[-0.17416138 -0.46446606  0.86829666],[-0.48085341 -0.06568436  0.87433722],[ 0.42147554 -0.22907501  0.87742977]
2020-09-28,296,[0.85603945 0.04352743 0.51507458],[-0.24721405 -0.39616803  0.88427151],[-0.37366969 -0.28299003  0.8833389 ],[ 0.38871105 -0.22514714  0.89342738]
2020-09-18,289,[0.82495241 0.12436469 0.55135011],[-0.40559097 -0.1743923   0.89726434],[-0.46947375 -0.05988042  0.88091358],[ 0.27792092 -0.03315451  0.96003164]
2020-09-11,284,[0.73741919 0.11377325 0.66578419],[-0.28839343 -0.31394039  0.90458314],[ 0.03920862 -0.65981838  0.75040149],[ 0.2728773  -0.12164351  0.95432742]
2020-08-26,219,[0.72333312 0.16016662 0.67166647],[-0.27837351 -0.33341024  0.90074735],[-0.35117236 -0.14529179  0.92496933],[ 0.27076935 -0.10542319  0.95685417]
2020-07-17,203,[0.72319383 0.12794968 0.67868959],[-0.17826643 -0.46725766  0.86596268],[-0.0645438  -0.51790742  0.85299824],[ 0.32577124 -0.20284681  0.92343179]
2020-06-27,135,[0.59342067 0.20895094 0.7772975 ],[-0.27404973 -0.35567309  0.89352862],[-0.21529021 -0.40946386  0.88656047],[ 0.18705199 -0.08593352  0.97858417]
2020-06-10,196,[0.64005336 0.22132686 0.73576227],[-0.2339058  -0.41595674  0.87878784],[ 0.0571215  -0.65083978  0.75706322],[ 0.24230419 -0.11611453  0.96322692]
2020-04-16,162,[0.66427994 0.15432766 0.73137893],[ 0.01433607 -0.67386138  0.7387187 ],[-0.28763039 -0.3510767   0.89107458],[ 0.39907391 -0.30552235  0.86452074]
2020-02-27,431,[0.79059781 0.15543957 0.59227836],[-0.29657121 -0.31515132  0.90151271],[-0.34012923 -0.29638586  0.89245029],[ 0.31238851 -0.10099075  0.94457095]
2020-02-11,246,[0.70329517 0.10369095 0.70329517],[-0.25484323 -0.3575338   0.89845674],[ 0.10622695 -0.68916614  0.71677463],[ 0.26652265 -0.15086314  0.95194852]
